Freq.	V(out)
1.00000000000000e+000	7.45432573287781e+001,-7.23267155782776e+000
1.02329299228075e+000	7.45093501068497e+001,-7.39765459507356e+000
1.04712854805090e+000	7.44738791152655e+001,-7.56623475810703e+000
1.07151930523761e+000	7.44367739025909e+001,-7.73847868727129e+000
1.09647819614318e+000	7.43979610022911e+001,-7.91445340066807e+000
1.12201845430196e+000	7.43573638188422e+001,-8.09422622509845e+000
1.14815362149688e+000	7.43149025111205e+001,-8.27786472056485e+000
1.17489755493953e+000	7.42704938730657e+001,-8.46543659790294e+000
1.20226443461741e+000	7.42240512116724e+001,-8.65700962909417e+000
1.23026877081238e+000	7.41754842226146e+001,-8.85265154984361e+000
1.25892541179417e+000	7.41246988634828e+001,-9.05242995391150e+000
1.28824955169313e+000	7.40715972249848e+001,-9.25641217873764e+000
1.31825673855641e+000	7.40160774002111e+001,-9.46466518182357e+000
1.34896288259165e+000	7.39580333523135e+001,-9.67725540735794e+000
1.38038426460288e+000	7.38973547808998e+001,-9.89424864254232e+000
1.41253754462275e+000	7.38339269873831e+001,-1.01157098630208e+001
1.44543977074593e+000	7.37676307398576e+001,-1.03417030668839e+001
1.47910838816821e+000	7.36983421377489e+001,-1.05722910965944e+001
1.51356124843621e+000	7.36259324768913e+001,-1.08075354482751e+001
1.54881661891248e+000	7.35502681155157e+001,-1.10474960677137e+001
1.58489319246111e+000	7.34712103417266e+001,-1.12922311324504e+001
1.62181009735893e+000	7.33886152432578e+001,-1.15417968193446e+001
1.65958690743756e+000	7.33023335802070e+001,-1.17962470569701e+001
1.69824365246174e+000	7.32122106615209e+001,-1.20556332621874e+001
1.73780082874937e+000	7.31180862262854e+001,-1.23200040603129e+001
1.77827941003892e+000	7.30197943307058e+001,-1.25894049882347e+001
1.81970085860998e+000	7.29171632419398e+001,-1.28638781799049e+001
1.86208713666287e+000	7.28100153399350e+001,-1.31434620336255e+001
1.90546071796325e+000	7.26981670285926e+001,-1.34281908606080e+001
1.94984459975804e+000	7.25814286576339e+001,-1.37180945143001e+001
1.99526231496888e+000	7.24596044567234e+001,-1.40131980000598e+001
2.04173794466953e+000	7.23324924834079e+001,-1.43135210647742e+001
2.08929613085404e+000	7.21998845866878e+001,-1.46190777661442e+001
2.13796208950223e+000	7.20615663879849e+001,-1.49298760213805e+001
2.18776162394955e+000	7.19173172816173e+001,-1.52459171352446e+001
2.23872113856834e+000	7.17669104568205e+001,-1.55671953074039e+001
2.29086765276777e+000	7.16101129434956e+001,-1.58936971192118e+001
2.34422881531992e+000	7.14466856841932e+001,-1.62254010002574e+001
2.39883291901949e+000	7.12763836346185e+001,-1.65622766750510e+001
