Freq.	V(out)
1.00000000000000e+000	7.45432573287766e+001,-7.23267155788330e+000
1.02329299228075e+000	7.45093501068508e+001,-7.39765459513356e+000
1.04712854805090e+000	7.44738791152652e+001,-7.56623475817105e+000
1.07151930523761e+000	7.44367739025939e+001,-7.73847868734057e+000
1.09647819614318e+000	7.43979610022923e+001,-7.91445340074185e+000
1.12201845430196e+000	7.43573638188419e+001,-8.09422622517715e+000
1.14815362149688e+000	7.43149025111198e+001,-8.27786472064918e+000
1.17489755493953e+000	7.42704938730664e+001,-8.46543659799358e+000
1.20226443461741e+000	7.42240512116725e+001,-8.65700962919113e+000
1.23026877081238e+000	7.41754842226138e+001,-8.85265154994732e+000
1.25892541179417e+000	7.41246988634853e+001,-9.05242995402338e+000
1.28824955169313e+000	7.40715972249848e+001,-9.25641217885689e+000
1.31825673855641e+000	7.40160774002053e+001,-9.46466518194985e+000
1.34896288259165e+000	7.39580333523128e+001,-9.67725540749466e+000
1.38038426460288e+000	7.38973547808978e+001,-9.89424864268844e+000
1.41253754462275e+000	7.38339269873822e+001,-1.01157098631778e+001
1.44543977074593e+000	7.37676307398592e+001,-1.03417030670527e+001
1.47910838816821e+000	7.36983421377473e+001,-1.05722910967745e+001
1.51356124843621e+000	7.36259324768926e+001,-1.08075354484690e+001
1.54881661891248e+000	7.35502681155155e+001,-1.10474960679209e+001
1.58489319246111e+000	7.34712103417190e+001,-1.12922311326702e+001
1.62181009735893e+000	7.33886152432584e+001,-1.15417968195827e+001
1.65958690743756e+000	7.33023335802040e+001,-1.17962470572240e+001
1.69824365246174e+000	7.32122106615195e+001,-1.20556332624602e+001
1.73780082874937e+000	7.31180862262869e+001,-1.23200040606061e+001
1.77827941003892e+000	7.30197943307031e+001,-1.25894049885476e+001
1.81970085860998e+000	7.29171632419448e+001,-1.28638781802426e+001
1.86208713666287e+000	7.28100153399362e+001,-1.31434620339862e+001
1.90546071796325e+000	7.26981670285914e+001,-1.34281908609935e+001
1.94984459975804e+000	7.25814286576322e+001,-1.37180945147129e+001
1.99526231496888e+000	7.24596044567213e+001,-1.40131980005020e+001
2.04173794466953e+000	7.23324924834093e+001,-1.43135210652495e+001
2.08929613085404e+000	7.21998845866880e+001,-1.46190777666530e+001
2.13796208950223e+000	7.20615663879808e+001,-1.49298760219240e+001
2.18776162394955e+000	7.19173172816159e+001,-1.52459171358280e+001
2.23872113856834e+000	7.17669104568153e+001,-1.55671953080276e+001
2.29086765276777e+000	7.16101129434925e+001,-1.58936971198812e+001
2.34422881531992e+000	7.14466856841904e+001,-1.62254010009748e+001
2.39883291901949e+000	7.12763836346229e+001,-1.65622766758229e+001
2.45470891568503e+000	7.10989558954616e+001,-1.69042845914065e+001
2.51188643150958e+000	7.09141458779981e+001,-1.72513753263555e+001
2.57039578276886e+000	7.07216915065470e+001,-1.76034889828925e+001
2.63026799189538e+000	7.05213254604125e+001,-1.79605545628315e+001
2.69153480392691e+000	7.03127754584416e+001,-1.83224893292707e+001
2.75422870333816e+000	7.00957645891767e+001,-1.86891981558895e+001
2.81838293126445e+000	6.98700116895997e+001,-1.90605728660431e+001
2.88403150312660e+000	6.96352317756307e+001,-1.94364915642909e+001
2.95120922666638e+000	6.93911365273693e+001,-1.98168179632751e+001
3.01995172040201e+000	6.91374348321386e+001,-2.02014007093267e+001
3.09029543251359e+000	6.88738333882204e+001,-2.05900727105428e+001
3.16227766016837e+000	6.86000373720583e+001,-2.09826504715162e+001
3.23593656929628e+000	6.83157511717031e+001,-2.13789334394576e+001
3.31131121482591e+000	6.80206791886781e+001,-2.17787033666692e+001
3.38844156139202e+000	6.77145267106499e+001,-2.21817236951256e+001
3.46736850452531e+000	6.73970008564909e+001,-2.25877389690664e+001
3.54813389233575e+000	6.70678115953087e+001,-2.29964742822603e+001
3.63078054770101e+000	6.67266728402451e+001,-2.34076347668469e+001
3.71535229097172e+000	6.63733036175737e+001,-2.38209051312985e+001
3.80189396320560e+000	6.60074293106770e+001,-2.42359492552197e+001
3.89045144994280e+000	6.56287829782512e+001,-2.46524098494392e+001
3.98107170553496e+000	6.52371067448479e+001,-2.50699081898268e+001
4.07380277804112e+000	6.48321532613236e+001,-2.54880439337931e+001
4.16869383470335e+000	6.44136872317563e+001,-2.59063950285716e+001
4.26579518801592e+000	6.39814870023548e+001,-2.63245177204880e+001
4.36515832240165e+000	6.35353462068846e+001,-2.67419466745077e+001
4.46683592150962e+000	6.30750754619595e+001,-2.71581952132263e+001
4.57088189614874e+000	6.26005041044201e+001,-2.75727556843314e+001
4.67735141287197e+000	6.21114819617740e+001,-2.79850999651805e+001
4.78630092322637e+000	6.16078811454609e+001,-2.83946801127136e+001
4.89778819368445e+000	6.10895978554098e+001,-2.88009291662021e+001
5.01187233627271e+000	6.05565541831748e+001,-2.92032621096061e+001
5.12861383991364e+000	6.00086998997006e+001,-2.96010769992926e+001
5.24807460249771e+000	5.94460142126273e+001,-2.99937562616922e+001
5.37031796370252e+000	5.88685074769459e+001,-3.03806681641107e+001
5.49540873857623e+000	5.82762228419513e+001,-3.07611684604661e+001
5.62341325190348e+000	5.76692378164541e+001,-3.11346022118255e+001
5.75439937337156e+000	5.70476657337705e+001,-3.15003057799952e+001
5.88843655355588e+000	5.64116570973545e+001,-3.18576089901318e+001
6.02559586074356e+000	5.57614007878454e+001,-3.22058374563764e+001
6.16595001861481e+000	5.50971251122558e+001,-3.25443150621313e+001
6.30957344480192e+000	5.44190986763650e+001,-3.28723665843349e+001
6.45654229034654e+000	5.37276310619057e+001,-3.31893204485674e+001
6.60693448007594e+000	5.30230732911851e+001,-3.34945115996777e+001
6.76082975391980e+000	5.23058180628281e+001,-3.37872844699355e+001
6.91830970918935e+000	5.15762997440826e+001,-3.40669960247958e+001
7.07945784384136e+000	5.08349941068706e+001,-3.43330188639366e+001
7.24435960074988e+000	5.00824177970846e+001,-3.45847443534968e+001
7.41310241300916e+000	4.93191275290944e+001,-3.48215857636464e+001
7.58577575029182e+000	4.85457190002072e+001,-3.50429813841637e+001
7.76247116628690e+000	4.77628255228957e+001,-3.52483975897095e+001
7.94328234724279e+000	4.69711163757890e+001,-3.54373318256539e+001
8.12830516164097e+000	4.61712948778055e+001,-3.56093154850482e+001
8.31763771102669e+000	4.53640961933052e+001,-3.57639166475096e+001
8.51138038202374e+000	4.45502848795461e+001,-3.59007426511701e+001
8.70963589956078e+000	4.37306521913079e+001,-3.60194424701521e+001
8.91250938133743e+000	4.29060131607692e+001,-3.61197088712909e+001
9.12010839355907e+000	4.20772034740038e+001,-3.62012803258681e+001
9.33254300796988e+000	4.12450761683490e+001,-3.62639426545944e+001
9.54992586021433e+000	4.04104981775397e+001,-3.63075303866239e+001
9.77237220955808e+000	3.95743467537968e+001,-3.63319278167957e+001
9.99999999999997e+000	3.87375057978916e+001,-3.63370697484614e+001
1.02329299228075e+001	3.79008621296256e+001,-3.63229419131258e+001
1.04712854805090e+001	3.70653017320769e+001,-3.62895810618046e+001
1.07151930523760e+001	3.62317060033684e+001,-3.62370747270646e+001
1.09647819614318e+001	3.54009480495915e+001,-3.61655606585616e+001
1.12201845430196e+001	3.45738890518946e+001,-3.60752259388243e+001
1.14815362149688e+001	3.37513747396042e+001,-3.59663057898148e+001
1.17489755493953e+001	3.29342319996417e+001,-3.58390820843479e+001
1.20226443461741e+001	3.21232656504398e+001,-3.56938815797307e+001
1.23026877081238e+001	3.13192554061351e+001,-3.55310738940009e+001
1.25892541179416e+001	3.05229530540220e+001,-3.53510692477168e+001
1.28824955169313e+001	2.97350798652089e+001,-3.51543159964693e+001
1.31825673855640e+001	2.89563242551488e+001,-3.49412979810029e+001
1.34896288259165e+001	2.81873397073052e+001,-3.47125317231712e+001
1.38038426460288e+001	2.74287429697503e+001,-3.44685634967487e+001
1.41253754462275e+001	2.66811125309781e+001,-3.42099663024985e+001
1.44543977074592e+001	2.59449873778147e+001,-3.39373367768256e+001
1.47910838816820e+001	2.52208660349714e+001,-3.36512920628444e+001
1.51356124843620e+001	2.45092058826582e+001,-3.33524666717686e+001
1.54881661891248e+001	2.38104227457468e+001,-3.30415093613288e+001
1.58489319246111e+001	2.31248907452973e+001,-3.27190800563549e+001
1.62181009735892e+001	2.24529424008915e+001,-3.23858468348028e+001
1.65958690743755e+001	2.17948689701317e+001,-3.20424830005447e+001
1.69824365246174e+001	2.11509210099332e+001,-3.16896642619705e+001
1.73780082874937e+001	2.05213091427871e+001,-3.13280660332133e+001
1.77827941003892e+001	1.99062050101215e+001,-3.09583608723726e+001
1.81970085860998e+001	1.93057423940811e+001,-3.05812160687630e+001
1.86208713666286e+001	1.87200184886124e+001,-3.01972913888126e+001
1.90546071796324e+001	1.81490953005543e+001,-2.98072369879308e+001
1.94984459975804e+001	1.75930011615199e+001,-2.94116914934591e+001
1.99526231496887e+001	1.70517323317200e+001,-2.90112802616650e+001
2.04173794466952e+001	1.65252546773767e+001,-2.86066138098567e+001
2.08929613085403e+001	1.60135054041678e+001,-2.81982864227840e+001
2.13796208950222e+001	1.55163948299600e+001,-2.77868749309776e+001
2.18776162394954e+001	1.50338081811586e+001,-2.73729376571278e+001
2.23872113856833e+001	1.45656073980712e+001,-2.69570135253894e+001
2.29086765276776e+001	1.41116329358749e+001,-2.65396213273974e+001
2.34422881531991e+001	1.36717055489961e+001,-2.61212591378706e+001
2.39883291901948e+001	1.32456280479614e+001,-2.57024038719493e+001
2.45470891568502e+001	1.28331870190066e+001,-2.52835109758562e+001
2.51188643150957e+001	1.24341544979955e+001,-2.48650142420257e+001
2.57039578276885e+001	1.20482895913516e+001,-2.44473257396337e+001
2.63026799189537e+001	1.16753400379047e+001,-2.40308358512528e+001
2.69153480392690e+001	1.13150437066149e+001,-2.36159134063924e+001
2.75422870333815e+001	1.09671300261968e+001,-2.32029059027317e+001
2.81838293126444e+001	1.06313213436086e+001,-2.27921398060344e+001
2.88403150312659e+001	1.03073342092722e+001,-2.23839209199882e+001
2.95120922666637e+001	9.99488058770205e+000,-2.19785348175014e+001
3.01995172040200e+001	9.69366899294615e+000,-2.15762473253812e+001
3.09029543251358e+001	9.40340554889997e+000,-2.11773050547066e+001
3.16227766016837e+001	9.12379497514887e+000,-2.07819359696343e+001
3.23593656929627e+001	8.85454149947822e+000,-2.03903499878609e+001
3.31131121482590e+001	8.59534969864949e+000,-2.00027396064000e+001
3.38844156139201e+001	8.34592526939029e+000,-1.96192805468437e+001
3.46736850452530e+001	8.10597573187388e+000,-1.92401324147174e+001
3.54813389233574e+001	7.87521106819846e+000,-1.88654393680368e+001
3.63078054770100e+001	7.65334429858208e+000,-1.84953307906088e+001
3.71535229097171e+001	7.44009199813468e+000,-1.81299219660838e+001
3.80189396320559e+001	7.23517475717665e+000,-1.77693147491709e+001
3.89045144994279e+001	7.03831758813585e+000,-1.74135982308538e+001
3.98107170553495e+001	6.84925028209199e+000,-1.70628493948164e+001
4.07380277804111e+001	6.66770771803492e+000,-1.67171337626532e+001
4.16869383470333e+001	6.49343012787914e+000,-1.63765060257808e+001
4.26579518801591e+001	6.32616332023732e+000,-1.60410106622716e+001
4.36515832240164e+001	6.16565886587453e+000,-1.57106825371357e+001
4.46683592150961e+001	6.01167424770228e+000,-1.53855474848280e+001
4.57088189614873e+001	5.86397297806463e+000,-1.50656228730097e+001
4.67735141287196e+001	5.72232468596638e+000,-1.47509181468166e+001
4.78630092322636e+001	5.58650517678613e+000,-1.44414353530775e+001
4.89778819368444e+001	5.45629646689586e+000,-1.41371696441129e+001
5.01187233627270e+001	5.33148679548810e+000,-1.38381097609022e+001
5.12861383991362e+001	5.21187061578902e+000,-1.35442384955468e+001
5.24807460249770e+001	5.09724856771083e+000,-1.32555331330841e+001
5.37031796370250e+001	4.98742743387487e+000,-1.29719658728176e+001
5.49540873857622e+001	4.88222008081486e+000,-1.26935042294152e+001
5.62341325190346e+001	4.78144538704676e+000,-1.24201114141207e+001
5.75439937337154e+001	4.68492815958160e+000,-1.21517466964796e+001
5.88843655355586e+001	4.59249904033761e+000,-1.18883657470482e+001
6.02559586074355e+001	4.50399440380620e+000,-1.16299209615936e+001
6.16595001861479e+001	4.41925624721697e+000,-1.13763617673373e+001
6.30957344480190e+001	4.33813207434907e+000,-1.11276349118210e+001
6.45654229034652e+001	4.26047477404317e+000,-1.08836847349945e+001
6.60693448007593e+001	4.18614249437634e+000,-1.06444534251463e+001
6.76082975391978e+001	4.11499851337839e+000,-1.04098812593034e+001
6.91830970918933e+001	4.04691110708667e+000,-1.01799068287333e+001
7.07945784384134e+001	3.98175341566595e+000,-9.95446725018143e+000
7.24435960074986e+001	3.91940330824319e+000,-9.73349836347570e+000
7.41310241300914e+001	3.85974324704818e+000,-9.51693491611940e+000
